id,destination_id,titre,description,prix,prix_public,duree,langues,inclusions,categorie,profil_cible,horaires,conditions_annulation
55774,8067,Empire State Building New York : billet d'entrée express,,81.70,112,,Audio|Français|Anglais,,,general,,
72588,8067,One World Observatory + Mémorial et musée du 11 septembre,,0,0,,,,,general,,
72534,8067,Musée d'Art Moderne (MoMA) : billet d'entrée,,25.80,32,,,,,general,,
55706,8067,Madame Tussauds à New York : billet d'entrée + Attraction Marvel 4D,,33.54,45,,,,,general,,
34278,8067,Disney Aladdin à Broadway New York : billet d'entrée au spectacle,,87.72,102,,,,,general,,
37678,8067,"Soho, Greenwich Village et Meatpacking District : visite en français",,50.74,59,3 heures 30 minutes,,,,general,,
40051,8067,New York Central Park : location de vélo,,15.48,18,,,,,general,,
50261,8067,NYC Empire State building : vol en hélicoptère de 25 minutes,,345.72,402,25 minutes,,,,general,,
37582,8067,Circle Line : croisière Liberty à New York,,27.52,32,1 heure,,,,couple,,
44304,8067,Washington D.C : excursion d'une journée au départ de New York,,143.62,167,13 heures,,,,general,,
50610,8067,New York : tour de 3 heures en limousine,,886.66,1031,3 heures,,,,general,,
48863,8067,Zoo de Central Park à New York : billet d'entrée,,19.78,28,,,,,general,,
37581,8067,Circle Line : Croisière touristique à New York,,42.14,49,2 heures 30 minutes,,,,couple,,
50394,8067,Statue de la Liberté et Ellis Island  : visite audioguidée,,58,58,,Audio|Anglais,,,general,,
53620,8067,Musée de Broadway : billet d'entrée,,40.42,47,,,,,general,,
53465,8067,MJ à Broadway New York : billet d'entrée au spectacle,,58.48,68,,,,,general,,
70433,8067,SUMMIT One Vanderbilt : billet d'entrée,,47.30,64,,,,,general,,
47987,8067,New York C3,,98.04,114,,,,,general,,
49584,8067,Moulin Rouge the Musical à Broadway New York : billet d'entrée,,81.70,95,,,,,general,,
53165,8067,Croisière en bateau de 60 minutes à bord du Lady Liberty,,17.20,20,1 heure,Anglais,,,couple,,
